,review,sent_hc_7,sent_openai_zero_shot,sent_openai_fewshot1,sent_openai_zeroshot
5783,"Die (emotionalen) Defizite und Wunden, um die es in Wagners Geschichten geht, sind Gerrit Bartels' Empfinden nach so übermächtig, dass sie gar nicht kommunizierbar sind, sondern ""nur in Andeutungen und Nebensätzen bemerkbar"" werden. Statt dessen wird extrem viel über Alltägliches geredet. Wagners Protagonisten fällt es nach Bartels Meinung schwer, zwischen emotionalen Bedürfnissen und der Einkaufsliste, die abgearbeitet werden will, zu unterscheiden. Wie der Autor diese Zustände beschreibt, hat nach Bartels Meinung allerdings etwas sehr ""Kalkuliertes und Kühles"". Diese Erzählstrategie erlaubt es ihm, ""die unspektakuläre, von den Dingen bestimmte Gegenwart, mit den Deformationen aus der Vergangenheit zu verknäulen"", beobachtet Bartels, und am Ende jeder noch so erfolgreich scheinenden Biografie steht ein ""nicht mehr als ein resignierendes Immer-weiter-so"".",3,6,4,6
4582,"Für ein literarisch so überaus ambitioniertes Buch, lobt Rezensent Jens-Christian Rabe, sei die Roman ziemlich spannend. Allerdings müsse der Leser erst einmal die Anfangshürde nehmen und bei dem zunächst ""manieriert"" wirkenden Tonfall nicht gleich die Geduld verlieren. Claudia Schattach erzähle eine ""klassische"" amour fou zwischen Sekretärin und Chef ganz unklassisch aus ständig wechselnden Perspektiven einschließlich der Außenperspektive. Und manchmal geschehe dies sogar mitten im Satz, beispielsweise, wenn es um den ersten Kuss gehe oder all die folgenden ""psychischen Untiefen"" der beiden Akteure. So ""vertrackt trist"" es hier zugehe, so gnadenlos packend sei diese Art von Liebesgeschichte geschrieben. Selbst einige weniger gelungene Metaphern, so der Rezensent, halten nicht davon ab, unbedingt bis zum Ende zu lesen.",6,6,6,6
2641,"Die Protagonistin in diesem Roman, den der Frontmann der Band Erdmöbel Markus Berges geschrieben hat, ist 19, heißt Betti, reist nach Paris und dann nach Monaco. Nach Paris einer Brieffreundin wegen, die anders heißt als behauptet und sich als sehr anders auch herausstellt, als Betti sie sich vorgestellt hat. Schnaubend macht sich Betti, die sie nun nur noch ""die Fette? nennt, auf und davon und erlebt mancherlei Abenteuer, die man genremäßig, so Oliver Jungen, dem magischen Realismus zuschlagen kann. Mal findet der Rezensent das einigermaßen reizend, anderes ist für seine Begriffe mit dem Wort ""Kitsch? doch besser beschrieben. Insgesamt mag er das Buch aber, weil Berges immer wieder hübsch ""dahingeerdmöbelte Bilder? finde und der Ton insgesamt ""angenehm? ist.",5,6,5,6
3884,"Brandt hole mit seiner ""ebenso lehrreichen wie gut geschriebenen"" Studie über ""Arkadien in Kunst, Philosophie und Dichtung"" die seit Schlegel und Schiller als naiv betrachtete arkadische Ideallandschaft heim in den Kreis der sehr wohl reflektierten, vom Bewusstsein des Todes längst angekränkelten, sentimentalischen Epochen, meint Thomas Steinfeld. Und das tue er ""präzis, mit einem feinen Gehör für Brechungen, sich überlagernde Stimmen, Reden und Gegenreden"". Die Parteinahme für die Arkadien münden für Steinfeld gar in einer ""Apologie der intellektuellen Antike"". Nachgezeichnet wird die Geschichte der Darstellung Arkadiens von Platon über Vergils bukolische Dichtungen bis zu Poussin und Goethes Italiensehnsucht.",6,6,7,6
4852,"Martin Walsers neuer Roman erscheint dem Rezensenten Roman Bucheli wie eine ""nie endende Kontaktanzeige"", denn der Ich-Erzähler offenbare in seinem Blog von Anfang an alles über sich, auch die unangenehmsten Wahrheiten -  ob er nun mit Trump sympathisiert oder sich permanent von ""Weibsattacken"" tyrannisiert fühlt. Der Rezensent warnt davor, den Köder zu schlucken, den Walser damit seiner Meinung nach auslegt: Weder sei Mall so platt, wie er sich in dem Blog präsentiere, noch könne man ihn mit Walser gleichsetzen. Wer dies tue, erliege ""lediglich den eigenen reflexhaften Vorurteilen"". Der Roman stellt in den Augen Buchelis damit zwar virtuos die Frage nach den Charakteren der Figur und des Autors, einen Erkenntnisgewinn hat er dem Rezensenten darüber hinaus aber nicht beschert.",3,6,4,6
90,"Sich der globalen Verantwortung stellen, statt Urban Gardening zu betreiben - das ist doch mal ein Vorschlag, freut sich Manuela Lenzen, die das Buch des Technikhistorikers Andreas Möller als Ratschlag liest, wie wir die haarsträubenden Inkonsistenzen unserer Naturbegeisterung in den Griff kriegen. Wenn der Autor Kraftwerksbetreiber, Biohändler, Simmel und Karl den Käfer befragt und feststellt, dass eine Wohlfühlnatur weniger mit der Realität zu tun hat als mit Lifestyle, und dass ohne Hightech mal gleich gar nichts mehr geht und unsere Lebensqualität ganz schnell sinken würde, hört Lenzen zwar mitunter eine allzu wohlfeile Nivellierung der Ökobewegung heraus. Wichtiger jedoch erscheint ihr, was Möller außerdem konstatiert: Der Einfluss des Menschen auf die Natur wird leicht überschätzt im Guten wie auch im Schlechten.",5,7,6,7
2014,"Rezensent Hans-Peter Kunisch ist von diesem Debütroman der 1968 geborenen Jo Lendle ziemlich begeistert, obwohl er anfänglich noch fürchtete ""Objekt eines Textplans"" zu werden. Im ersten, umfangreichen Kapitel stellt uns die Autorin nämlich eine Protagonistin vor, Hella, die in ihrer Rätselhaftigkeit und Geschichtslosigkeit etwas geradezu Mythisches hat und in eine seltsam zeitferne, geradewegs aus den 1970er Jahren stammende Romanwelt zu führen scheint, erzählt der Rezensent. Dann jedoch wird die Geschichte Hellas nachgereicht, ihr Kleinstadtleben, eine Abtreibung und schließlich der Verlust ihres 13-jährigen Sohns, für den sie einen im Preisausschreiben gewonnenen ""Weltraumflug"" antreten wird, lesen wir. Kunisch preist die Konzentration der Sprache, mit der die Autorin eine geradezu ""magische Atmosphäre"" erziele, mit der sie dieser am Ende ins All fliegenden Heldin sehr überzeugend gerecht werde.",6,7,6,7
5449,"Christian Jostmann schränkt zwar ein, dass Malte Prietzels Buch über Kriegsführung im Mittelalter ein wenig eindimensional geraten sei. Beispielsweise werde völlig ausgeblendet, was die Kriege für die normale Bevölkerung bedeuteten, obwohl der Klappentext anderes verspreche. Doch in dem, was das Buch leistet, ist es in den Augen des Rezensenten durchaus gelungen: Es gibt eine durchaus ""instruktive Einführung in die mittelalterliche Wehrkunde und Kriegskunst, ihre gesellschaftlichen Bedingungen und Auswirkungen"". So hat Jostmann in dem Buch etwa erfahren, wie zum Beispiel der Hundertjährige Krieg zwischen England und Frankreich mit der Entstehung moderner ""effizienter"" Staaten zusammenhängt. Doch eine weitergehende Bewertung findet zum Bedauern des Rezensenten nicht statt. Beispielsweise erscheint der Krieg als solcher - es geht ausschließlich um Kriege auf dem Landweg, nicht um Seekriege - ""als Gegenstand rationalen Handelns"".",5,4,4,4
4912,"Die Gemeinsamkeiten der beiden Handlungsstränge in diesem Roman von Guy Helminger findet Andrea Diener schnell heraus. Und schnell merkt sie auch, worum es dem Autor zu tun ist: Nicht um die kleinen Bewegungen geht es ihm, sondern um Makrostrukturen, um das allgemein menschliche Verlangen nach einem besseren Leben und wie sich die Figuren als Flüchtlinge oder hoffnungsvolle Auswanderer über die Landkarte Europas bewegen. Dass Helminger die beiden Teile seiner Erzählung dabei sehr ungleich behandelt, im historischen Rückblick auf die ""Neubrasilianer"" sehr liebevoll und genau, im Blick auf die Gegenwart in Helmingers Heimatstadt Luxemburg eher beiläufig und wenig differenziert, sieht Diener zwar kritisch, ebensogut kann sie es aber ausblenden ""wie der Autor selbst"".",6,2,4,2
1762,"Begeistert ist Rezensent Dieter Langewiesche mit Hilfe dieses Reprints ""aller Ausgaben der Deutschen Tribüne, die je erschienen sind"" noch einmal in die ""heroische Zeit des deutschen Journalismus"" im deutschen Vormärz eingetaucht. Denn was die Journalisten damals taten, sei gefährlich gewesen, also ""zu informieren, zu kommentieren"" oder ""Reformen zu verlangen"". Wertvoll findet der Rezensent aber auch den dritten Band der Edition, in dem er nicht nur die von der Zensur unterdrückten Artikel der Zeitschrift fand, sondern auch Beispiele, wie woanders auf das Blatt reagiert, wie es gegründet, finanziert und vertrieben worden ist. So entsteht für den Rezensenten ein höchst komplexes Bild der europäischen Politik aus der demokratisch-liberalen Reformperspektive dieser Epoche.",6,6,7,6
4784,"An Sandra Hoffmanns schriftstellerischem Potenzial zweifelt Rezensentin Sibylle Birrer nicht. Der neue Roman, in dem die Autorin das Erwachsenwerden eines jungen Mädchens schildert und der in die Geschichte einer Magersucht mündet, hat sie dennoch nicht überzeugt. Zwar greife die Autorin damit eine ""literarisch kaum behandelte Erkrankung an der Gegenwart"" auf, doch sie liefere ""im Subtext"" ihre persönlichen Begründungen für die ""Irrationalität"" des magersüchtigen Verhaltens mit, ohne diese jedoch ""schlüssig"" zu erklären. Auch das Ende ist für den Geschmack der Kritikerin etwas zu ""diffus"" und treibt sie zu der Annahme, dass Hoffmanns Mut zur ""radikalen Imagination"" parallel zur ""Körperhaftigkeit"" ihrer Protagonistin ""schwindet"". Ein Buch, das ""zuweilen kunstvoll poetisch"" daherkommt, die eigentlichen Fähigkeiten der Autorin jedoch nicht annähernd ausdrückt.",3,7,3,7
5179,"Martin Zingg hält durch bei diesem von Fritz Rudolf Fries raffiniert inszenierten Reigen vieler Figuren und Schauplätze und Referenzen und Folien (DDR, Jazz, die Romane Roberto Bolaños, der magische Realismus, und, und, und) und wird belohnt. Auch wenn, nein, gerade weil die Geschichte über zwei konkurrierende alternde Drehbuchautoren beileibe nicht immer geradlinig abläuft, der Autor Reales, Erinnertes und Geträumtes vermischt und das alles ironisch, aber auch präzise fasst, scheint Zingg hier ein bemerkenswert vielseitiger und ungewöhnlicher Autor am Werk zu sein.",5,7,6,7
3140,"Kristina Maidt-Zinke findet es nur konsequent, dass ""das nekrophilste aller literarischen Genres"", der Krimi, früher oder später auch die Toten selbst zu Wort kommen lässt, wo ließe sich schließlich freimütiger über das Leben nach dem Tod spekulieren als im Roman, fragt die Rezensentin. Gert Heidenreich hat das Experiment in ""Der Fall"" gewagt, berichtet Maidt-Zinke: gleich zu Beginn des neuen und letzten Bandes seiner Serie um den Ex-Kommissar Alexander Swoboda lässt er seinen Protagonisten ins Gras beißen, verrät die Rezensentin. Swoboda landet in einer fremden Sphäre, für deren Ausgestaltung Heidenreich sich gekonnt im reichen Fundus literaturgeschichtlicher Jenseitsvorstellungen bedient, so Maidt-Zinke. Dass die eigentliche Kriminalgeschichte eher als Alibi einsteht, um über den Untod zu sinnieren, nimmt die Rezensentin Heidenreich dann gar nicht mehr übel.",5,5,6,5
2329,"Hans-Martin Lohmann ist hocherfreut, dass mit Franz Maciejewskis Untersuchung Feuer in die ""kalte Theorie"" der Begründung des Monotheismus durch den dem ägyptischen Pharao Echnaton zugeschriebenen ""Großen Sonnenhymnus"" kommt. Ist man sich darüber nämlich in der Forschung insgesamt ziemlich einig, lässt der Heidelberger Privatgelehrte Zweifel verlautbaren, ob dieser ""Grundtext der Amarnareligion"" überhaupt von Echnatons selbst stammt. Zudem macht der Heidelberger Privatgelehrte machtpolitische Beweggründe für die ""Sonnentheologie mit Ausschließlichkeitsanspruch"" aus, womit die Stiftung der Atonreligion als ""Mittel zum Zweck"" plausibel wird, so der Rezensent gefesselt. Größtes Lob lässt Lohmann dem Autor dafür zuteil werden, dass er mit seiner Studie eine scheinbar abgeschlossene Debatte neu entfacht hat.",7,6,6,6
3316,"Als Verwandlung eines Roman-Klassikers in ein akustisches Groschenheft bezeichnet Felicitas von Lovenberg diese Hörspielbearbeitung von Jane Austens ""Stolz und Vorurteil"" von 1959 recht verächtlich. Die unfreiwillige Komik, meint die Rezensentin, ist noch das Beste in der von Hufgetrappel, hysterischem Geheule, Bällen und Liebesschwüren dominierten Fassung. Schlimm findet sie die Zusammenstreichung von subtilen Charakterzeichnungen, die stimmliche Fehlbesetzung der Heldin und die Hast der Inszenierung. Eine Neuauflage aus dem Archiv des Hessischen Rundfunks, die der Rezensentin ganz und gar nicht einleuchten will.",1,6,1,6
1701,"Niklaus Peter attestiert Pannenberg mit dieser Aufsatzsammlung zunächst einmal einen souveränen Umgang mit historischem Material und die Fähigkeit, ""grosse Linien in einem unübersichtlichen Gelände zu ziehen"". Allerdings äußert sich Peter skeptisch, ob Pannenberg die erstrebte ""Revision der Marginalisierung der Religion"" gelingen wird. Er kritisiert vor allem, dass Pannenbergs Theologie keine Ambivalenzen und Skepsis kenne und zu sehr von sich überzeugt scheint. Pannenberg betone auch zu sehr die ""Verdrängung"" der Religion in den Bereichen Kultur, Gesellschaftssystem und Politik. Pannenbergs Kritik an theologischen Vereinfachungen und Missverständnissen stimmt Peter dagegen zu.",3,6,4,6
2796,"Als eine Art ""poetische Geschichtsschreibung"" der fünfziger Jahre hat Rezensentin Beatrice von Matt den Roman von Gerlind Reinshagen gelesen, die damit an ihr Lebensthema, der Aufarbeitung der Trümmerjahre, anknüpfe. Erzählt werden aus der Sicht der halb erblindeten Aneta die Biografien einer Generation von Überlebenden, die trotz erfolgreicher Lebensläufe die prägenden Erlebnisse ihrer Jugend nicht verarbeiten können und am Ende scheitern. Als eine ""Gegenstimme zu den Historikern"" des Wirtschaftswunders konzentriere sich die Erzählerin in einer Art ""Trümmersprache"" objektiv und aus der Distanz nur auf Beschreibungen der Einzelschicksale, so die Rezensentin.",6,6,6,6
5002,"Drei Bücher bleiben, resümiert Karl-Markus Gauß das zu Ende gegangene Adalbert-Stifter-Jahr, auch wenn er sie unterschiedlich beurteilt. Peter Becher stellt uns Gauß als den Vorsitzenden der Münchner Adalbert-Stifter-Gesellschaft vor, die einst von sudetendeutschen Vertreibenen gegründet wurde und sich unter Bechers Ägide zu einem Forum der deutsch-tschechischen Verständigung zu entwickeln begann. So lese Becher seinen Stifter denn auch als Vorboten einer ""österreichisch-bayrisch-tschechischen Grenzkultur"", was Gauß durhaus glaubwürdig findet. Manchmal erscheint ihm diese Biografie ein wenig didaktisch, doch sieht er vor allem ihre Vorzüge darin, dass sie sich im Gegensatz zu den anderen Neuerscheinungen nicht auf ein einziges Werk oder einen Lebensabschnitt begrenzt, sondern auf Stifters gesamtes Schaffen.",4,6,6,6
1325,"Von einem staatlich bestallten Professor hätte sich Volker Stahr weniger Einseitigkeit gewünscht. Bassam Tibi stelle sich ""klar"" gegen einen Beitritt  der Türkei. Allerdings verwende er dabei nur die Fakten, die ""in die Argumentation passen"", die anderen, kritisiert Stahr, werden gar nicht beachtet. Zwar müsse man Tibi zugestehen, dass er im Gegensatz etwa zu Hans-Peter Raddatz (""Die türkische Gefahr?"") immer sachlich bleibt und sogar ""einzelne Gegenpositionen"" erwähnt. Wenn Tibi aber in einem ""kühnen Bogen"" von einer von der türkischen Regierung verfolgten Islamisierung Europas spricht, mag der Rezensent nicht mehr folgen, vor allem weil Tibi diese Behauptung ""nirgends schlüssig begründet"".",3,7,2,7
